site,common_name,timestamp
MS106,nine_banded_armadillo,2020-03-29T02:35:00Z
MS106,nine_banded_armadillo,2020-06-17T01:10:00Z
MS106,northern_tamandua,2020-03-03T20:43:00Z
MS106,northern_tamandua,2020-03-17T10:01:00Z
MS106,northern_tamandua,2020-04-23T11:48:00Z
MS106,northern_tamandua,2020-04-23T12:54:00Z
MS106,northern_tamandua,2020-06-13T11:13:00Z
MS106,northern_tamandua,2020-06-14T12:13:00Z
MS106,northern_tamandua,2020-06-19T06:23:00Z
MS106,ocelot,2020-02-09T00:01:00Z
MS106,peccary_uid,2020-04-06T18:32:00Z
MS106,peccary_uid,2020-04-25T17:10:00Z
MS106,peccary_uid,2020-06-14T17:19:00Z
MS106,spotted_paca,2020-03-12T21:43:00Z
MS106,spotted_paca,2020-03-19T18:45:00Z
MS106,spotted_paca,2020-03-20T03:47:00Z
MS106,spotted_paca,2020-03-26T00:03:00Z
MS106,spotted_paca,2020-03-26T12:54:00Z
MS106,spotted_paca,2020-05-01T00:52:00Z
MS106,striped_hog_nosed_skunk,2020-02-28T19:52:00Z
MS106,striped_hog_nosed_skunk,2020-05-13T01:56:00Z
MS106,striped_hog_nosed_skunk,2020-06-06T19:32:00Z
MS106,tinamou_great,2020-02-20T09:08:00Z
MS106,tinamou_great,2020-02-25T16:24:00Z
MS106,tinamou_great,2020-03-07T11:19:00Z
MS106,tinamou_great,2020-03-09T07:23:00Z
MS106,tinamou_great,2020-03-10T06:32:00Z
MS106,tinamou_great,2020-03-10T07:21:00Z
MS106,tinamou_great,2020-03-11T05:52:00Z
MS106,tinamou_great,2020-03-11T14:23:00Z
MS106,tinamou_great,2020-03-12T17:29:00Z
MS106,white_nosed_coati,2020-03-02T08:02:00Z
MS106,white_nosed_coati,2020-04-15T09:32:00Z
MS106,white_nosed_coati,2020-05-06T14:09:00Z
MS106,white_nosed_coati,2020-05-23T17:25:00Z
MS106,white_nosed_coati,2020-05-27T12:09:00Z
MS106,white_nosed_coati,2020-05-27T13:37:00Z
MS106,white_nosed_coati,2020-06-22T10:17:00Z
MS106,white_nosed_coati,2020-06-22T10:30:00Z
MS106,white_nosed_coati,2020-06-22T17:03:00Z
MS106,white_nosed_coati,2020-07-08T11:25:00Z
MS108,central_american_agouti,2020-03-18T14:43:00Z
MS108,central_american_agouti,2020-03-22T05:52:00Z
MS108,central_american_agouti,2020-03-24T16:58:00Z
MS108,central_american_agouti,2020-03-28T15:31:00Z
MS108,central_american_agouti,2020-03-29T16:18:00Z
MS108,central_american_agouti,2020-03-31T05:32:00Z
MS108,central_american_agouti,2020-03-31T15:51:00Z
MS108,central_american_agouti,2020-04-06T16:03:00Z
MS108,central_american_agouti,2020-04-06T17:02:00Z
MS108,central_american_agouti,2020-04-09T05:48:00Z
MS108,central_american_agouti,2020-04-10T15:41:00Z
MS108,central_american_agouti,2020-04-11T13:25:00Z
MS108,central_american_agouti,2020-04-11T15:28:00Z
MS108,central_american_agouti,2020-04-14T15:28:00Z
MS108,central_american_agouti,2020-04-15T05:23:00Z
MS108,central_american_agouti,2020-04-15T06:39:00Z
MS108,central_american_agouti,2020-04-15T06:59:00Z
MS108,central_american_agouti,2020-04-15T07:11:00Z
MS108,central_american_agouti,2020-04-15T15:14:00Z
MS108,central_american_agouti,2020-04-16T05:31:00Z
MS108,central_american_agouti,2020-04-16T06:44:00Z
MS108,central_american_agouti,2020-04-16T10:57:00Z
MS108,central_american_agouti,2020-04-16T12:47:00Z
MS108,central_american_agouti,2020-04-18T08:18:00Z
MS108,central_american_agouti,2020-04-18T13:48:00Z
MS108,central_american_agouti,2020-04-21T16:06:00Z
MS108,central_american_agouti,2020-04-21T17:33:00Z
MS108,central_american_agouti,2020-04-24T10:18:00Z
MS108,central_american_agouti,2020-04-28T17:12:00Z
MS108,central_american_agouti,2020-05-02T08:53:00Z
MS108,central_american_agouti,2020-05-02T14:05:00Z
MS108,central_american_agouti,2020-05-07T07:34:00Z
MS108,central_american_agouti,2020-05-09T17:13:00Z
MS108,central_american_agouti,2020-05-13T07:33:00Z
MS108,central_american_agouti,2020-05-13T15:34:00Z
MS108,central_american_agouti,2020-05-15T07:34:00Z
MS108,central_american_agouti,2020-05-16T05:11:00Z
MS108,central_american_agouti,2020-05-18T12:30:00Z
MS108,central_american_agouti,2020-05-24T15:35:00Z
MS108,central_american_agouti,2020-05-28T12:00:00Z
MS108,central_american_agouti,2020-06-01T08:40:00Z
MS108,central_american_agouti,2020-06-03T05:18:00Z
MS108,central_american_agouti,2020-06-07T16:15:00Z
